CHURN,Gender,Status,Children,EstIncome,CarOwner,Age,AvgMonthlySpend,CustomerSupportCalls,Paymethod,MembershipPlan
"T","F","S",1,38000.000000,"N",24,206.080000,0,"CC",3
"F","M","M",2,29616.000000,"N",49,45.500000,0,"CH",2
"F","M","M",0,19732.800000,"N",50,22.440000,0,"CC",3
"F","M","S",2,96.330000,"N",56,32.880000,1,"CC",1
"F","F","M",2,52004.800000,"N",25,23.110000,0,"CH",1
"F","M","M",2,53010.800000,"N",18,46.420000,4,"CC",1
"F","M","M",1,75004.500000,"N",64,32.190000,0,"CC",1
"F","M","M",0,19749.300000,"N",60,13.940000,0,"CC",3
"F","M","S",1,57626.900000,"Y",43,38.960000,0,"CC",2
"F","M","M",2,20078.000000,"N",32,6.330000,0,"CC",4
"F","F","M",2,47902.000000,"N",26,49.920000,1,"Auto",2
"T","M","M",1,7545.960000,"Y",16,178.360000,0,"CC",3
"T","F","S",0,78851.300000,"N",48,28.660000,0,"CC",4
"T","F","S",1,17540.700000,"Y",62,13.450000,0,"Auto",4
"T","F","M",0,83891.900000,"Y",61,45.470000,0,"CH",4
"T","F","M",2,28220.800000,"N",38,12.460000,0,"CC",4
"T","F","S",0,28589.100000,"N",15,87.090000,0,"CC",4
"F","F","M",2,5237.630000,"N",48,56.640000,0,"CC",2
"T","M","S",2,89459.900000,"N",53,22.900000,0,"CC",2
"T","F","S",1,13576.500000,"N",39,25.660000,0,"CC",1
"T","F","M",2,67388.000000,"N",53,91.040000,1,"CC",3
"F","F","M",1,57063.000000,"Y",52,81.300000,0,"CH",4
"T","F","M",2,84166.100000,"N",54,11.740000,1,"CC",2
"T","F","S",1,7737.940000,"N",42,50.840000,0,"CC",4
"T","M","S",2,100020.000000,"N",50,293.240000,0,"CH",4
"F","F","M",2,45287.600000,"Y",29,2.970000,0,"CC",3
"T","F","M",2,59613.100000,"N",34,163.410000,0,"CC",1
"T","F","S",1,16326.700000,"N",50,1.340000,0,"CC",1
"T","F","S",2,9559.780000,"N",51,59.590000,0,"CC",3
"F","F","M",2,42031.800000,"N",50,39.330000,0,"CH",4
"F","F","M",2,83284.100000,"Y",28,9.040000,0,"Auto",4
"F","M","M",1,39229.100000,"N",26,13.530000,0,"CC",4
"F","F","S",0,68427.400000,"N",42,50.050000,0,"Auto",3
"T","M","S",0,3601.710000,"N",49,111.840000,0,"Auto",4
"F","F","M",0,72642.600000,"N",27,20.340000,0,"CH",4
"T","F","S",0,98716.300000,"N",55,13.920000,0,"CC",4
"F","F","S",2,66182.700000,"Y",62,47.170000,0,"Auto",2
"T","F","M",2,84789.300000,"N",50,10.450000,0,"CH",4
"T","F","M",2,35976.500000,"Y",48,31.780000,0,"Auto",4
"F","F","M",0,32703.100000,"Y",64,56.090000,0,"CC",4
"F","F","M",1,77129.100000,"Y",61,20.070000,0,"CH",4
"F","F","M",2,8204.720000,"N",52,24.190000,0,"CH",3
"T","M","M",1,97180.400000,"N",50,45.660000,0,"CC",4
"F","F","M",0,80405.100000,"N",60,17.110000,0,"CC",4
"T","F","S",2,38280.000000,"N",33,74.970000,0,"Auto",4
"T","M","S",0,64136.600000,"Y",61,125.150000,0,"CC",2
"T","F","M",2,45429.700000,"Y",61,73.040000,0,"CH",2
"T","F","S",0,25285.500000,"N",53,11.930000,0,"CC",1
"F","F","M",2,77551.100000,"Y",33,41.890000,1,"CC",2
"T","F","M",0,38538.400000,"N",12,16.480000,0,"CC",3
"F","F","S",0,69350.500000,"Y",57,25.950000,0,"CC",4
"T","M","S",2,43634.500000,"N",21,104.640000,0,"CC",1
"T","F","S",1,13109.100000,"N",62,40.480000,0,"Auto",1
"T","M","S",1,92647.500000,"N",56,10.340000,0,"CC",4
"T","F","S",2,21021.600000,"Y",62,11.190000,0,"CC",3
"T","M","S",0,74460.700000,"Y",55,179.930000,0,"CC",2
"T","F","S",2,28787.400000,"N",41,58.090000,0,"Auto",2
"F","M","M",1,13091.600000,"N",59,20.260000,0,"CC",2
"F","F","M",2,62061.800000,"Y",45,52.220000,0,"Auto",2
"T","F","M",1,20550.900000,"Y",22,57.060000,0,"CC",3
"F","M","M",2,1765.410000,"N",18,44.950000,0,"CC",4
"T","F","S",2,19131.100000,"N",56,34.910000,0,"Auto",2
"F","F","S",2,83073.700000,"N",39,3.200000,0,"CC",4
"F","M","M",2,42750.300000,"Y",50,112.400000,0,"Auto",1
"T","F","S",2,2842.550000,"N",45,0.790000,0,"Auto",2
"F","M","M",2,22358.100000,"N",52,12.190000,0,"CC",1
"F","M","M",0,47870.800000,"Y",27,12.480000,0,"CC",2
"F","F","S",2,6440.460000,"Y",52,27.200000,0,"CH",1
"T","F","S",0,7325.500000,"N",36,161.540000,0,"CC",2
"F","M","M",2,28766.900000,"N",46,58.080000,0,"CC",1
"F","M","M",2,91272.200000,"Y",25,13.010000,0,"CC",3
"T","M","S",0,65000.000000,"Y",45,115.660000,1,"Auto",4
"F","M","M",2,1406.050000,"Y",19,15.170000,0,"CC",1
"F","F","S",0,73228.300000,"N",62,28.110000,0,"Auto",4
